element,median,mean,stdev,var
capsfilter0,0.100999,0.11132957834101392,0.02430192456839033,0.0005905835377277335
v4l2convert0,2.1539675000000003,2.5096673271889425,0.7982704024715934,0.6372356354621597
v4l2h264enc0,5.206303500000001,6.1705620000000065,1.661255463224172,2.7597697140921587
capsfilter1,0.1288045,0.15676870506912446,0.06690665944430321,0.004476501077995968
h264parse0,0.277654,0.3337744677419353,0.11464888270458747,0.013144366305410254
rtph264pay0,0.187831,0.232359202764977,0.08260846286262509,0.006824158136525709
queue0,0.139239,0.536137708888889,2.0812929308957044,4.331780264196432
