element,median,mean,stdev,var
capsfilter0,0.107794,0.1300716114942529,0.044205899738397454,0.001954161571681248
v4l2convert0,2.7738705,3.513674191244241,1.680856322379956,2.8252779764846707
v4l2h264enc0,5.9549105,6.445225479262676,1.5532293814794558,2.412521511491053
capsfilter1,0.1325345,0.15536621428571426,0.11548673308610424,0.013337185518901085
h264parse0,0.283347,0.3300586267281104,0.1140171480465018,0.01299991004865791
rtph264pay0,0.1932285,0.2242274470046081,0.0642406002644695,0.004126854722339359
queue0,0.1478775,0.42188267555555564,1.2995449781609618,1.6888171502633749
